 dropoff_longitude, dropoff_latitude
-73.92614,40.864761
-73.997833,40.736168
-73.956299,40.781261
-74.136749,40.601543
-73.977448,40.763031
-73.861435,40.756256
-73.957405,40.765686
-74.0028,40.760498
-73.988342,40.718399
-73.961739,40.666935
-73.995796,40.742596
-74.005714,40.706718
-74.009224,40.715359
-73.99044,40.714077
-73.968941,40.797646
-73.981766,40.748974
-73.949905,40.768562
-73.994949,40.743904
-73.973022,40.764114
-73.889511,40.743282
-73.985565,40.763634
-73.871048,40.773544
-73.964478,40.775707
-74.0028,40.733406
-73.974991,40.7906
-73.935181,40.800961
-73.940872,40.719212
-73.945335,40.836784
-73.999161,40.712421
-73.998329,40.729549
-73.947472,40.714977
-74.008957,40.730881
-73.989899,40.762012
-73.987518,40.721779
-73.977325,40.74963
-73.951668,40.781746
0.0,0.0
-73.997177,40.724567
-74.000595,40.730709
-73.996475,40.732327
-74.004463,40.717175
-73.948296,40.775581
-73.991341,40.74892
-74.009003,40.705235
-73.866516,40.92667
-73.957603,40.708954
-73.952522,40.776531
0.0,0.0
-73.98027,40.748528
-73.993217,40.73098
-73.948967,40.829994
-73.734146,41.006832
-73.982918,40.751945
-74.001289,40.725372
-73.980797,40.748592
-73.824684,40.727577
-73.978317,40.76178
-73.949509,40.777843
-73.961792,40.76442
-73.98719,40.770157
-73.9991,40.711777
-73.986038,40.763985
-73.995819,40.748833
-73.975372,40.744701
-74.00071,40.74646
-74.004227,40.721992
-74.002853,40.744308
-73.9879,40.768887
-73.985596,40.732624
-73.948013,40.80389
-73.958603,40.779125
-73.9804,40.770302
-73.942314,40.784332
-73.85804,40.883728
-73.790787,40.767673
-73.964905,40.805988
-74.002663,40.750023
0.0,0.0
-73.916054,40.870735
-73.974388,40.638172
-73.993866,40.725681
-73.866989,40.76738
-73.962479,40.769669
-73.994652,40.719631
-73.983452,40.760208
-73.979965,40.668877
-73.952507,40.800304
-73.947693,40.770836
-73.967331,40.793266
-73.979874,40.759144
-73.985184,40.720467
-74.01268,40.706646
-73.985046,40.744305
-73.971756,40.749657
-73.926926,40.857605
-73.902412,40.936306
-73.963219,40.75832
-73.960373,40.76152
-73.963028,40.799149
-73.976944,40.743599
-73.994499,40.728607
-73.981476,40.779449
-73.964851,40.801697
-73.999176,40.72015
-73.946556,40.776642
-73.994675,40.75045
-73.974861,40.750385
